Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
736,800,736,766.28931,736,800,736,1.0201
737,850,737,817.22666,737,850,737,1.0163
738,950,738,907.65515,738,950,738,1.0227
739,850,739,816.10244,739,850,739,1.0177
740,870,740,833.66652,740,870,740,1.0197
741,810,741,775.94399,741,810,741,1.02
742,770,742,737.48117,742,770,742,1.0202
743,950,743,910.95086,743,950,743,1.019
744,930,744,890.02608,744,930,744,1.021
745,820,745,786.75768,745,820,745,1.0184
746,890,746,852.91491,746,890,746,1.0196
747,920,747,880.28347,747,920,747,1.0212
748,920,748,883.13732,748,920,748,1.0179
749,1000,749,958.04947,749,1000,749,1.0199
750,860,750,821.66677,750,860,750,1.0227
751,840,751,805.55139,751,840,751,1.0189
752,810,752,776.02007,752,810,752,1.0199
753,790,753,757.82503,753,790,753,1.0186
754,850,754,814.8214,754,850,754,1.0193
755,950,755,909.96855,755,950,755,1.0201
756,990,756,950.05255,756,990,756,1.0182
757,760,757,729.04687,757,760,757,1.0186
758,810,758,777.31572,758,810,758,1.0182
759,710,759,680.08176,759,710,759,1.0201
760,780,760,746.54661,760,780,760,1.0209
761,780,761,745.59717,761,780,761,1.0222
762,850,762,811.71565,762,850,762,1.0232
763,780,763,747.86521,763,780,763,1.0191
764,620,764,593.64144,764,620,764,1.0205
765,800,765,767.11651,765,800,765,1.019
766,640,766,612.2512,766,640,766,1.0214
767,750,767,720.58603,767,750,767,1.017
768,880,768,844.15953,768,880,768,1.0186
769,910,769,871.73955,769,910,769,1.02
770,920,770,885.05019,770,920,770,1.0157
771,690,771,658.98652,771,690,771,1.0231
772,700,772,673.07642,772,700,772,1.0162
773,840,773,803.73708,773,840,773,1.0212
774,820,774,789.23761,774,820,774,1.0152
775,890,775,855.17951,775,890,775,1.0169
776,930,776,891.86047,776,930,776,1.0189
777,860,777,823.84177,777,860,777,1.02
778,780,778,747.64512,778,780,778,1.0194
779,840,779,805.0773,779,840,779,1.0195
780,760,780,729.6916,780,760,780,1.0177
781,890,781,853.83608,781,890,781,1.0185
782,780,782,749.55688,782,780,782,1.0168
783,1050,783,1007.43361,783,1050,783,1.0184
784,850,784,815.38136,784,850,784,1.0186
785,740,785,707.49985,785,740,785,1.022
786,900,786,864.36327,786,900,786,1.0174
787,910,787,872.33821,787,910,787,1.0193
788,830,788,797.13501,788,830,788,1.0174
789,870,789,835.55116,789,870,789,1.0174
790,920,790,881.75133,790,920,790,1.0195
791,950,791,911.04026,791,950,791,1.0189
792,800,792,766.74029,792,800,792,1.0195
793,730,793,699.30755,793,730,793,1.02
794,810,794,777.39207,794,810,794,1.0181
795,900,795,862.75207,795,900,795,1.0193
796,850,796,816.5036,796,850,796,1.0172
797,750,797,719.17173,797,750,797,1.019
798,1010,798,970.38919,798,1010,798,1.017
799,820,799,785.13867,799,820,799,1.0205
800,770,800,738.78465,800,770,800,1.0184
