Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS
733,740,733,711.32793,733,740
734,760,734,729.19004,734,760
735,800,735,768.02095,735,800
736,720,736,690.40486,736,720
737,690,737,662.35299,737,690
738,740,738,710.48919,738,740
739,670,739,644.1669,739,670
740,720,740,691.55859,740,720
741,640,741,614.96055,741,640
742,840,742,805.3933,742,840
743,750,743,719.38352,743,750
744,790,744,759.68958,744,790
745,850,745,815.30132,745,850
746,600,746,575.73288,746,600
747,780,747,747.9386,747,780
748,630,748,603.45283,748,630
749,790,749,758.04829,749,790
750,840,750,806.977,750,840
751,640,751,614.23571,751,640
752,740,752,711.04813,752,740
753,930,753,895.11094,753,930
754,780,754,749.11483,754,780
755,760,755,728.68917,755,760
756,810,756,779.53597,756,810
757,750,757,720.30272,757,750
758,630,758,606.18634,758,630
759,850,759,816.90514,759,850
760,680,760,651.72925,760,680
761,900,761,863.42974,761,900
762,570,762,546.46326,762,570
763,830,763,797.60539,763,830
764,720,764,690.54039,764,720
765,680,765,653.20288,765,680
766,570,766,545.39302,766,570
767,620,767,594.80715,767,620
768,760,768,728.26041,768,760
769,670,769,644.80136,769,670
770,690,770,661.70293,770,690
771,670,771,646.20158,771,670
772,670,772,643.53369,772,670
773,660,773,635.24002,773,660
774,720,774,689.93091,774,720
775,770,775,740.89442,775,770
776,680,776,653.5884,776,680
777,630,777,605.17325,777,630
778,710,778,683.83579,778,710
779,670,779,642.20798,779,670
780,760,780,729.83503,780,760
781,720,781,694.22,781,720
782,720,782,690.13395,782,720
783,820,783,788.61616,783,820
784,630,784,606.42521,784,630
785,690,785,662.0278,785,690
786,770,786,740.01995,786,770
787,590,787,568.70637,787,590
788,780,788,747.20532,788,780
789,680,789,653.01029,789,680
790,880,790,844.82305,790,880
791,730,791,701.16357,791,730
792,880,792,843.82816,792,880
793,680,793,651.85712,793,680
794,800,794,768.92753,794,800
795,650,795,622.54904,795,650
796,620,796,595.68445,796,620
797,720,797,694.15151,797,720
798,790,798,760.66277,798,790
799,700,799,671.75433,799,700
800,800,800,770.89914,800,800
