Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
664,1070,664,1027.12711,664,1070,664,1.0179
665,1100,665,1057.17136,665,1100,665,1.0167
666,1090,666,1048.17929,666,1090,666,1.0161
667,960,667,921.5346,667,960,667,1.0179
668,990,668,956.81851,668,990,668,1.011
669,1060,669,1016.22992,669,1060,669,1.0192
670,1130,670,1091.47841,670,1130,670,1.0116
671,870,671,835.96199,671,870,671,1.0169
672,770,672,740.74853,672,770,672,1.0157
673,980,673,943.69997,673,980,673,1.0147
674,840,674,809.36427,674,840,674,1.0141
675,1070,675,1031.281,675,1070,675,1.0138
676,860,676,825.37924,676,860,676,1.0181
677,1040,677,999.60579,677,1040,677,1.0166
678,930,678,895.64028,678,930,678,1.0146
679,1090,679,1048.48885,679,1090,679,1.0158
680,1090,680,1043.96684,680,1090,680,1.0202
681,810,681,780.8434,681,810,681,1.0136
682,850,682,816.74448,682,850,682,1.0169
683,970,683,930.76816,683,970,683,1.0183
684,810,684,779.68956,684,810,684,1.0151
685,1000,685,962.29531,685,1000,685,1.0154
686,900,686,865.38397,686,900,686,1.0162
687,800,687,769.3059,687,800,687,1.0161
688,790,688,760.13843,688,790,688,1.0155
689,950,689,913.91053,689,950,689,1.0157
690,830,690,799.09859,690,830,690,1.0149
691,870,691,836.94964,691,870,691,1.0157
692,860,692,826.92246,692,860,692,1.0162
693,910,693,873.53801,693,910,693,1.0179
694,830,694,797.60539,694,830,694,1.0168
695,830,695,798.312,695,830,695,1.0159
696,1000,696,963.24394,696,1000,696,1.0144
697,820,697,787.14414,697,820,697,1.0179
698,850,698,818.43462,698,850,698,1.0148
699,800,699,767.1918,699,800,699,1.0189
700,830,700,799.65013,700,830,700,1.0142
701,760,701,730.91254,701,760,701,1.016
702,790,702,760.66277,702,790,702,1.0148
703,860,703,826.59709,703,860,703,1.0166
704,860,704,827.65547,704,860,704,1.0153
705,660,705,633.4928,705,660,705,1.018
706,1060,706,1018.62857,706,1060,706,1.0168
707,900,707,864.36327,707,900,707,1.0174
708,730,708,701.92255,708,730,708,1.0162
709,890,709,857.70988,709,890,709,1.0139
710,790,710,758.12274,710,790,710,1.0182
711,810,711,783.16136,711,810,711,1.0106
712,920,712,882.79042,712,920,712,1.0183
713,860,713,827.57396,713,860,713,1.0154
714,890,714,856.69593,714,890,714,1.0151
715,870,715,836.53784,715,870,715,1.0162
716,830,716,796.66519,716,830,716,1.018
717,990,717,952.57854,717,990,717,1.0155
718,880,718,844.24241,718,880,718,1.0185
719,830,719,799.41367,719,830,719,1.0145
720,840,720,806.34277,720,840,720,1.0179
721,910,721,877.50354,721,910,721,1.0133
722,880,722,846.15321,722,880,722,1.0162
