Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
627,11650,627,11181.00946,627,11650,627,1.0181
628,11440,628,10999.99179,628,11440,628,1.0162
629,11090,629,10685.53548,629,11090,629,1.0141
630,11600,630,11143.96815,630,11600,630,1.0171
631,10960,631,10558.19444,631,10960,631,1.0143
632,11630,632,11205.84108,632,11630,632,1.0141
633,11270,633,10835.4641,633,11270,633,1.0163
634,12210,634,11764.68784,634,12210,634,1.0141
635,11870,635,11425.82106,635,11870,635,1.0151
636,11330,636,10935.11364,636,11330,636,1.0124
637,11450,637,11041.11596,637,11450,637,1.0133
638,12150,638,11675.78979,638,12150,638,1.0168
639,11090,639,10729.97478,639,11090,639,1.0099
640,11260,640,10807.77114,640,11260,640,1.018
641,10870,641,10483.89725,641,10870,641,1.0131
642,11020,642,10622.27829,642,11020,642,1.0137
643,10500,643,10136.04414,643,10500,643,1.0122
644,10190,644,9799.99836,644,10190,644,1.016
645,10080,645,9718.12109,645,10080,645,1.0135
646,10210,646,9820.19946,646,10210,646,1.0159
647,9450,647,9097.27438,647,9450,647,1.015
648,8910,648,8572.36272,648,8910,648,1.0156
649,9560,649,9199.54314,649,9560,649,1.0154
650,8790,650,8444.43793,650,8790,650,1.0171
651,8310,651,8000.61364,651,8310,651,1.0149
652,8820,652,8479.09412,652,8820,652,1.0164
653,8060,653,7778.31518,653,8060,653,1.0125
654,7790,654,7485.2229,654,7790,654,1.0169
655,7850,655,7557.73972,655,7850,655,1.0149
656,7780,656,7514.03778,656,7780,656,1.0117
657,7230,657,6953.97082,657,7230,657,1.0159
658,7110,658,6858.12952,658,7110,658,1.013
659,6840,659,6590.53766,659,6840,659,1.0141
660,6590,660,6337.78108,660,6590,660,1.016
661,6900,661,6658.19783,661,6900,661,1.0126
662,6010,662,5802.25183,662,6010,662,1.0121
663,5770,663,5549.16492,663,5770,663,1.016
664,5710,664,5492.54251,664,5710,664,1.0158
665,5360,665,5183.93997,665,5360,665,1.0103
666,5550,666,5343.89667,666,5550,666,1.0148
667,5100,667,4915.93641,667,5100,667,1.0137
668,5570,668,5365.79772,668,5570,668,1.0143
669,4300,669,4156.28946,669,4300,669,1.0109
670,4610,670,4419.20785,670,4610,670,1.0193
671,4370,671,4222.69684,671,4370,671,1.0112
672,4310,672,4135.2751,672,4310,672,1.0184
673,4270,673,4126.06762,673,4270,673,1.0112
674,4190,674,4024.48678,674,4190,674,1.0173
675,4390,675,4228.22409,675,4390,675,1.0145
676,4590,676,4429.58644,676,4590,676,1.0125
677,4010,677,3850.46164,677,4010,677,1.0176
678,4150,678,4007.33849,678,4150,678,1.0119
679,3660,679,3514.73183,679,3660,679,1.0175
680,3900,680,3751.47387,680,3900,680,1.0158
681,4230,681,4078.94502,681,4230,681,1.0133
682,3540,682,3406.86091,682,3540,682,1.0153
683,3270,683,3146.08598,683,3270,683,1.0156
684,3430,684,3300.67291,684,3430,684,1.0154
685,3130,685,3013.76515,685,3130,685,1.0148
686,3260,686,3130.30049,686,3260,686,1.0176
687,3370,687,3248.05325,687,3370,687,1.0138
688,3330,688,3205.70621,688,3330,688,1.015
689,2950,689,2841.28954,689,2950,689,1.0145
690,2990,690,2884.07978,690,2990,690,1.013
691,3070,691,2953.08328,691,3070,691,1.0158
692,3160,692,3048.35849,692,3160,692,1.0129
693,2860,693,2758.95736,693,2860,693,1.0129
694,3080,694,2969.13293,694,3080,694,1.0136
695,2690,695,2589.08434,695,2690,695,1.0152
696,2570,696,2475.04895,696,2570,696,1.0146
697,2490,697,2399.18696,697,2490,697,1.0141
698,2730,698,2628.61944,698,2730,698,1.0148
699,2640,699,2538.45964,699,2640,699,1.0162
700,2280,700,2195.97971,700,2280,700,1.0145
701,2560,701,2469.55624,701,2560,701,1.0129
702,2300,702,2210.23181,702,2300,702,1.0168
703,2250,703,2172.6534,703,2250,703,1.0119
704,2210,704,2127.30114,704,2210,704,1.0151
705,1910,705,1839.79593,705,1910,705,1.0144
706,2280,706,2200.53478,706,2280,706,1.0124
707,2170,707,2089.41545,707,2170,707,1.0148
708,2290,708,2201.70477,708,2290,708,1.0163
709,2150,709,2074.24616,709,2150,709,1.0128
710,2120,710,2037.85841,710,2120,710,1.0165
711,2250,711,2161.97067,711,2250,711,1.0169
712,2040,712,1960.95809,712,2040,712,1.0165
713,1850,713,1780.77245,713,1850,713,1.0151
714,1790,714,1716.42319,714,1790,714,1.019
715,1940,715,1867.22068,715,1940,715,1.0152
716,1810,716,1737.81815,716,1810,716,1.0177
717,1670,717,1606.24222,717,1670,717,1.0159
718,1750,718,1681.3674,718,1750,718,1.017
719,1670,719,1604.82049,719,1670,719,1.0168
720,1630,720,1570.24242,720,1630,720,1.0143
721,1690,721,1628.52443,721,1690,721,1.014
722,1660,722,1600.87873,722,1660,722,1.0132
723,1770,723,1703.43045,723,1770,723,1.0153
724,1710,724,1646.17346,724,1710,724,1.015
725,1640,725,1579.87581,725,1640,725,1.0143
726,1470,726,1415.13157,726,1470,726,1.015
727,1240,727,1194.54025,727,1240,727,1.0143
728,1480,728,1422.37601,728,1480,728,1.0167
729,1520,729,1464.99731,729,1520,729,1.0138
730,1540,730,1481.05962,730,1540,730,1.016
731,1510,731,1455.93362,731,1510,731,1.0134
732,1580,732,1522.67596,732,1580,732,1.0139
733,1270,733,1223.92308,733,1270,733,1.0139
734,1470,734,1413.87789,734,1470,734,1.0159
735,1390,735,1333.25746,735,1390,735,1.0187
736,1340,736,1290.74688,736,1340,736,1.0144
737,1180,737,1135.50846,737,1180,737,1.0154
738,1410,738,1358.57575,738,1410,738,1.0141
739,1220,739,1176.54943,739,1220,739,1.0132
740,1220,740,1175.38935,740,1220,740,1.0142
741,1310,741,1258.25243,741,1310,741,1.0173
742,1330,742,1281.11444,742,1330,742,1.0144
743,1090,743,1046.32574,743,1090,743,1.0179
744,1170,744,1125.77464,744,1170,744,1.0155
745,1090,745,1050.35007,745,1090,745,1.014
746,1170,746,1126.66221,746,1170,746,1.0147
747,1110,747,1070.04466,747,1110,747,1.0136
748,1210,748,1164.72144,748,1210,748,1.0151
