Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
776,860,776,825.54141,776,860,776,1.0179
777,800,777,770.06376,777,800,777,1.0151
778,750,778,723.14584,778,750,778,1.0134
779,900,779,865.38397,779,900,779,1.0162
780,700,780,674.86952,780,700,780,1.0135
781,870,781,835.96199,781,870,781,1.0169
782,890,782,856.69593,782,890,782,1.0151
783,870,783,836.29095,783,870,783,1.0165
784,980,784,941.47317,784,980,784,1.0171
785,830,785,799.33487,785,830,785,1.0146
786,780,786,749.85186,786,780,786,1.0164
787,920,787,886.18443,787,920,787,1.0144
788,630,788,607.4425,788,630,788,1.0134
789,850,789,818.43462,789,850,789,1.0148
790,620,790,595.15776,790,620,790,1.0179
791,860,791,825.05508,791,860,791,1.0185
792,650,792,626.8501,792,650,792,1.0132
793,910,793,873.0234,793,910,793,1.0185
794,880,794,846.40309,794,880,794,1.0159
795,870,795,834.56681,795,870,795,1.0186
796,810,796,780.38145,796,810,796,1.0142
797,790,797,759.61482,797,790,797,1.0162
798,820,798,787.3762,798,820,798,1.0176
799,930,799,894.58223,799,930,799,1.0158
800,730,800,701.16357,800,730,800,1.0173
